,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,alpha0,beta0,Sdown
42,11835902.230104972,4327029.273260534,296.0,177410.0,599.3581081081081,4131656.635272097,303.4508472926753,0.0014983952702702704,0.0014616040915918901,,0.09037898470968456,8085.97317333701,295.9759479102014
43,9986143.566684842,3633118.7273359546,295.0,176914.0,599.7084745762712,4095498.7217925903,302.4450878402406,0.001499271186440678,0.00146236463338967,,0.09122244614950487,8015.377218634297,294.97588754564754
44,9541303.10985046,3477436.710403069,295.0,176674.0,598.8949152542373,4044044.507601264,302.4376930820497,0.0014972372881355933,0.00146041650926154,,0.09198829200760217,7938.056449297085,294.97585203434625
45,6993547.752509978,2499050.546623482,292.0,176890.0,605.7876712328767,4181691.776834304,299.4381167082095,0.0015144691780821918,0.0014768493899890863,,0.09176858141830896,8046.595943644155,291.97585497293113
46,4892421.717583109,1686400.3495494805,298.0,177449.0,595.4664429530201,4150666.4904846624,305.77809463650226,0.0014886661073825502,0.001450798823661198,,0.08941366851828851,8112.846993658773,297.974709994278
47,13662644.057904316,5052123.123197924,295.0,176393.0,597.9423728813559,4068969.552611319,302.378667885168,0.0014948559322033898,0.001458378340920096,,0.09094674777020317,8017.759714756418,294.97616502486716
48,8923162.893027315,3240125.5819014832,295.0,176125.0,597.0338983050848,4040465.3954610745,302.45698509111133,0.001492584745762712,0.001455785522253227,,0.09202633914371282,7909.613355258004,294.9757561589516
49,6678258.543811678,2389942.8889907785,294.0,177059.0,602.2414965986394,4086067.332835855,301.4874742934331,0.0015056037414965986,0.0014682119084296617,,0.09251473038771436,7935.016955011498,293.9756105599189
50,8620452.939417927,3089517.9872028083,296.0,177531.0,599.7668918918919,4157902.361201149,303.5377173417403,0.0014994172297297297,0.001462182373534533,,0.09012591386846942,8111.886530595713,295.9756193000692
51,10887202.139458574,3947491.906477751,295.0,176112.0,596.9898305084746,4130836.0846423446,302.46587451868027,0.0014924745762711865,0.0014556352867926869,,0.08978682666069361,8106.062664925027,294.9758951327672
52,15965769.018493991,5991593.882667914,292.0,177651.0,608.3938356164383,4178254.3620167943,299.22374148959005,0.0015209845890410958,0.0014842655792921134,,0.0920116863100724,8065.63621869863,291.9767276744912
53,13461190.261854948,4951747.178892748,295.0,177530.0,601.7966101694915,4180504.324734272,302.3955106042083,0.0015044915254237288,0.001467697053812754,,0.0901949919458349,8136.24471907573,294.9761833266192
