,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,r,xi,xip
45,20614528.394199844,7875964.589768279,283.0,89041.0,732.8756881195403,5792135.628086253,303.7384151344519,0.0015731625441696112,0.0014657513762390804,271.68794799314526,0.09274208636487624,0.9998734705581538,0.9996837364203658
46,6458405.918884143,2334423.658852066,282.0,88461.0,730.9535201505753,5645902.439670544,302.5534372615689,0.0015684574468085106,0.0014619070403011506,269.7351700115098,0.09464602624230772,0.99987053380253,0.9996763973497318
47,10940233.138126958,4083267.9911532486,282.0,88560.0,731.8062298485955,5649634.819910396,302.5391025241829,0.0015702127659574469,0.001463612459697191,270.2473449206041,0.09480431098714928,0.9998704684013788,0.9996762339103556
48,50820505.77912908,20446404.295697927,284.0,87914.0,721.0704416941503,5544075.845988317,304.8037851664209,0.001547781690140845,0.0014421408833883006,273.31156628373253,0.09379565316270527,0.999869938568352,0.9996749098434169
49,31629167.22418059,12675772.81574966,282.0,88501.0,731.7114587516098,5499888.120390716,302.3767051256572,0.0015691666666666666,0.0014634229175032195,271.16426609459563,0.09736068935933276,0.9998669588466648,0.9996674634782253
50,6997470.126843237,2613268.593027072,278.0,89101.0,747.8439078099123,5608042.48760144,297.8596170587773,0.0016025359712230215,0.0014956878156198244,266.16663065527337,0.09973981143962118,0.9998666479597001,0.999666686571289
51,17966407.33249688,6871155.501944274,277.0,87875.0,739.2537501293335,5800347.949063822,297.1746845539375,0.001586191335740072,0.001478507500258667,265.8677686678858,0.09422982407793702,0.9998725501027488,0.9996814361582653
52,9986576.848369628,3816487.612144756,273.0,87915.0,751.5097895048,5641258.550947427,292.4612600786303,0.001610164835164835,0.0015030195790095998,261.7189195534418,0.10012698496793465,0.9998667833103699,0.9996670248127031
53,29885600.10026789,11738915.642301887,280.0,88161.0,733.6455557687053,5712935.77500299,300.42095705066293,0.0015743035714285713,0.0014672911115374107,269.1267138856733,0.09422562250108234,0.9998715816902793,0.9996790160560215
54,14060453.831298344,5353012.878951551,280.0,88493.0,736.6944251292915,5663952.12992344,300.30429504223986,0.001580232142857143,0.001473388850258583,268.5846421728823,0.0958322497524453,0.9998699327945875,0.999674895414636
55,3369374.3485272275,1195369.7615824854,279.0,89309.0,746.7421592432887,5644492.670543206,298.9954393712727,0.0016005197132616486,0.0014934843184865774,266.31470093597096,0.09880385465031022,0.9998677042910977,0.9996693263478021
56,22250747.667135756,8574782.281710494,281.0,88678.0,735.236692398627,5779004.181296711,301.5287488941079,0.0015779003558718861,0.0014704733847972539,269.85221175082097,0.09355275758738346,0.9998727745007041,0.9996819969389076
57,3642288.73431886,1278377.9432516326,283.0,87932.0,724.1237077238544,5468552.686368634,303.580724750739,0.0015535689045936398,0.0014482474154477087,270.0910056381947,0.09589824151921938,0.9998675840301349,0.9996690258147388
58,6567242.773325532,2320568.822897362,285.0,88684.0,724.374064446077,5797855.862129817,306.07114594797076,0.001555859649122807,0.001448748128892154,272.48223558153035,0.09051334894203669,0.9998750617328765,0.9996877128571131
59,4016334.727290607,1407078.6707845803,283.0,88614.0,729.5798992744133,5637879.137254807,303.6473458497451,0.0015656183745583038,0.0014591597985488267,270.1646886716831,0.09442481949600187,0.9998705931997631,0.9996765457851703
60,5264499.086878063,1892649.6543017896,278.0,89905.0,754.0638112708859,5926797.545954257,298.0682757089075,0.0016169964028776979,0.0015081276225417718,265.77389552685605,0.09595141061346915,0.999872770445519,0.9996819868048133
61,6483234.92227071,2398995.482600788,277.0,87983.0,740.9083042498894,5552390.618547146,296.8754685813509,0.0015881407942238267,0.0014818166084997787,265.09884130189215,0.09887963829807792,0.999866560486257,0.9996664679751694
62,1667111.0520117655,553380.9308043078,278.0,87968.0,737.5827301852449,5685385.749094712,298.16316326273903,0.0015821582733812948,0.0014751654603704898,264.3229492618213,0.09570131131183786,0.9998702668978438,0.9996757303473713
63,48846834.9389454,19718793.14541158,283.0,88949.0,732.4221103742506,5662539.466605248,303.6124890964486,0.0015715371024734985,0.0014648442207485012,272.3625113556862,0.09474751498051631,0.9998706548334553,0.9996766998096135
64,9958758.74497264,3732847.9062141194,274.0,89160.0,758.8869884873386,5965323.440828862,293.71962279166013,0.0016270072992700731,0.0015177739769746772,262.5865298799411,0.09655515605486642,0.9998727835974001,0.9996820196719705
65,19463426.901733942,7573636.3031398095,285.0,87057.0,711.8421723028017,5247032.907422364,305.74544255495414,0.0015273157894736844,0.0014236843446056033,273.63072159025256,0.09658564010218833,0.9998643343419296,0.9996609048601717
66,68766976.88762106,28624184.588592365,282.0,87222.0,721.0109559725049,5339197.900615228,302.4295237038192,0.0015464893617021277,0.0014420219119450097,271.65956950055,0.0973792355717338,0.9998649589377667,0.9996624657158992
67,5017088.063248524,1792967.8986458536,282.0,87898.0,726.3650435020894,5529853.82418013,302.5269483516492,0.0015584751773049647,0.0014527300870041788,269.4863477332123,0.09542304465236146,0.9998686466104536,0.999671681214812
68,5648378.495645586,2055536.2023301723,282.0,86973.0,718.9256188361151,5308976.36606839,302.44088442975004,0.0015420744680851063,0.0014378512376722302,269.66167626552186,0.09736793123114218,0.999864583006353,0.9996615262685251
69,4654788.736165892,1658819.522478019,282.0,89565.0,740.3657215804104,5724075.733584794,302.43499053687765,0.001588031914893617,0.0014807314431608206,269.43757447248413,0.09577307050170789,0.9998706575950356,0.9996767067108863
70,13182923.025224457,5032600.926448347,282.0,87357.0,722.0800654238927,5376780.3554743985,302.44914720335623,0.001548882978723404,0.0014441601308477852,270.45707605565997,0.09698548530761762,0.9998657040054298,0.9996643276327563
71,10626191.106946366,4017264.310368499,281.0,87707.0,727.6911038268427,5435158.0803126125,301.3194731210781,0.0015606227758007117,0.0014553822076536853,269.3310723396492,0.09744063400650627,0.9998661140866422,0.9996653524235001
72,27218327.48113245,10728980.054543976,278.0,89305.0,748.9349687117832,5860022.5234670965,298.1066572228908,0.001606205035971223,0.0014978699374235663,267.19651729266104,0.09572920241518679,0.999872195889058,0.9996805509629951
73,20702302.51388228,7885906.796225315,283.0,88002.0,724.1335225391147,5689387.490850999,303.8182781934616,0.0015548056537102474,0.0014482670450782292,271.66318245371934,0.09217795561577466,0.9998727220595005,0.9996818658859336
74,5145538.136794787,1839115.444249828,284.0,88862.0,729.1534014531845,5587750.801148215,304.6752570271916,0.0015644718309859155,0.001458306802906369,271.4211692782551,0.0951606627594093,0.9998695086041949,0.9996738353530071
75,4718701.72481499,1668167.461563744,285.0,88873.0,726.50396250907,5604612.710177699,305.82420945464037,0.0015591754385964913,0.0014530079250181399,272.24533534350354,0.09418606804613482,0.9998703739223248,0.9996759978045126
76,12629339.149104243,4864869.09215411,277.0,88487.0,745.2401304817253,5604833.375636931,296.84056313097955,0.0015972382671480144,0.0014904802609634505,265.7183037445546,0.09910316159405445,0.9998670361667269,0.9996676567012757
77,6619386.234056346,2369217.8382666195,279.0,87797.0,732.9834781249228,5799845.65944519,299.4508151281846,0.0015734229390681003,0.0014659669562498453,266.8325681497323,0.09264603211292399,0.9998736201752315,0.9996841103212023
78,6634910.677402135,2424561.2218930614,281.0,87928.0,729.3722975850617,5524049.295184517,301.3824362781806,0.0015645551601423488,0.0014587445951701234,268.85443279234613,0.09631597588257283,0.9998679641946315,0.9996699758490858
79,8810235.978378626,3214429.89048952,286.0,88357.0,719.4973091064676,5566921.934469508,307.0094873243139,0.0015447027972027973,0.0014389946182129351,273.80429766865177,0.09300351247654952,0.9998707549131143,0.9996769499117406
