,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,alpha0,beta0,Sdown
56,607416279.8909361,292464573.236654,248.0,21813.0,87.95564516129032,71910.01012942239,320.64478796057745,0.0017591129032258064,0.0013605710006227738,0.10785933957428044,6307.154327075114,245.19714424495868
57,3331748.3755214373,1250213.1053768415,255.0,22670.0,88.90196078431373,74150.39430988097,339.7784409096033,0.0017780392156862745,0.0013343989653558546,0.10990242374370102,6070.83501846944,251.70528699622685
58,18568264.34627793,7717649.097214375,248.0,22622.0,91.21774193548389,75084.0493626431,325.3423734636396,0.0018243548387096775,0.001390658078698024,0.10997176435878993,6322.796068638641,245.01902493632224
59,10058007.324915271,3967809.1302143047,257.0,22028.0,85.71206225680933,72959.69141092226,340.53167938947814,0.0017142412451361866,0.001293741600751676,0.1062277714838394,6089.469743552396,253.75866645880447
60,2914690.5021508443,1093893.5491463966,246.0,22551.0,91.67073170731707,79875.79808645656,327.3179277666485,0.0018334146341463416,0.0013779263576468113,0.11179318462960079,6162.837037929597,242.84775332908163
61,1803918.0152022312,601081.667827476,242.0,22067.0,91.18595041322314,92778.1348439312,328.2248734553173,0.0018237190082644628,0.001344626917984269,0.09533238555759732,7052.309192304228,238.80019811752535
62,4544288.080513563,1806207.091647296,257.0,22395.0,87.14007782101167,66939.45897742567,339.6050713778641,0.0017428015564202334,0.001318884898222385,0.11791750973325328,5592.404814203998,253.71322652327513
63,6843335.411513012,2849756.067351536,246.0,21972.0,89.3170731707317,66850.73686297846,322.37857122511684,0.001786341463414634,0.0013631178968565476,0.12278455118996037,5550.852626189364,242.9498148965978
64,7644852.562949071,2982424.6937608607,249.0,22235.0,89.29718875502007,80197.5261366751,329.8452134853128,0.0017859437751004015,0.0013482081346613247,0.10721202289275575,6287.5790339761525,245.8857031018328
65,1505534.6176838512,572126.7804280769,251.0,22320.0,88.92430278884463,67430.39666037043,333.4562914581605,0.0017784860557768926,0.001338706185593175,0.12483895852397009,5361.732432813162,247.67637624165604
66,7074661.200484655,2805688.682244757,252.0,21199.0,84.12301587301587,69083.90153376157,333.8168277204601,0.0016824603174603176,0.001270097744608139,0.11155654386724954,5692.618741037435,248.76684183365825
67,43190767.144683376,17899895.35316313,242.0,22760.0,94.0495867768595,90675.2537394988,317.46515473631956,0.00188099173553719,0.001433858151701973,0.10075095776152805,7115.853702829489,239.18062540737148
68,1091741.8097582257,373580.9825300356,248.0,22826.0,92.04032258064515,84016.1354708637,335.0823874255289,0.0018408064516129033,0.0013624112073078157,0.10752805209819628,6335.143159031843,244.6597168266378
69,1057347.99269183,382998.8406807241,242.0,22195.0,91.71487603305783,75483.12118366222,323.7703728608475,0.001834297520661157,0.0013710334150641471,0.12005319303951015,5710.108079394992,238.76049915285955
70,1960058.018988624,758015.7858438126,244.0,22297.0,91.3811475409836,71950.6457101585,322.86079321975205,0.001827622950819672,0.0013812144718868828,0.12447212775901113,5548.2881860951,240.84732556027402
71,914111.1491799456,309029.0355299765,252.0,22542.0,89.45238095238095,78739.73979591833,341.6774048657814,0.001789047619047619,0.0013194902372227397,0.10794531221474193,6111.845943795134,248.53238171900392
72,858417.960436811,302785.632722722,241.0,22143.0,91.87966804979251,74990.18883972368,323.950597293805,0.0018375933609958506,0.0013670602977723509,0.11787200489778274,5798.918491960199,237.73035452399301
73,1593819.329751188,568320.5276458748,251.0,22891.0,91.199203187251,81213.56987984333,336.8590996221405,0.00182398406374502,0.0013590845564615682,0.11001568600706967,6176.7762661327815,247.6794156345257
74,1181221.481703011,406992.7294840277,241.0,22163.0,91.96265560165976,83979.33885435859,325.2363392035201,0.001839253112033195,0.0013628858358371366,0.10767113786758878,6328.928359209777,237.76730073520196
