,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,r,xi,xip
62,4544288.080513563,1806207.091647296,257.0,22395.0,720.1005293753562,4397521.399321379,310.998243806685,0.0017428015564202334,0.0014402010587507125,0.11793682205951303,0.999836248544581,0.9983648952029223
63,6843335.411513012,2849756.067351536,246.0,21972.0,740.661033453029,4467815.870638326,296.65392139727595,0.001786341463414634,0.0014813220669060577,0.12280490941728121,0.9998342230174881,0.9983446998708264
64,7644852.562949071,2982424.6937608607,249.0,22235.0,734.6088751147515,5033485.842694834,302.67807473094746,0.0017859437751004015,0.001469217750229503,0.10722767216685594,0.9998540556389602,0.9985424708530429
65,1505534.6176838512,572126.7804280769,251.0,22320.0,738.05039821093,4363368.5889387,302.4183721613696,0.0017784860557768926,0.0014761007964218598,0.1248600782227933,0.9998308530707027,0.9983111017545969
66,7074661.200484655,2805688.682244757,252.0,21199.0,691.9407708637259,4291832.767365309,306.37015323635313,0.0016824603174603176,0.0013838815417274517,0.1115745322120925,0.9998387773223306,0.998390109181483
67,43190767.144683376,17899895.35316313,242.0,22760.0,772.7023475089048,5926186.024543823,294.5506775458283,0.00188099173553719,0.0015454046950178096,0.10076409617016602,0.9998696122017924,0.998697650312498
68,1091741.8097582257,373580.9825300356,248.0,22826.0,758.1899732968246,5346065.741829638,301.0591118838738,0.0018408064516129033,0.0015163799465936492,0.10754330410945251,0.9998581779555451,0.9985835874621485
69,1057347.99269183,382998.8406807241,242.0,22195.0,760.2777595461433,4814718.018122793,291.9327801098583,0.001834297520661157,0.0015205555190922866,0.12007215327504879,0.9998420929830814,0.9984231707624239
70,1960058.018988624,758015.7858438126,244.0,22297.0,759.1227302604239,4629689.633921451,293.72062133287477,0.001827622950819672,0.0015182454605208477,0.12449254059978228,0.999836031615446,0.9983627322957255
71,914111.1491799456,309029.0355299765,252.0,22542.0,736.2110923118992,5021123.764641431,306.1893556807479,0.001789047619047619,0.0014724221846237982,0.10796114177677632,0.9998533772265292,0.9985357045568237
72,858417.960436811,302785.632722722,241.0,22143.0,760.8443866158185,4911125.259528782,291.0319165064815,0.0018375933609958506,0.001521688773231637,0.11789026876695485,0.9998450773811685,0.998452930895659
73,1593819.329751188,568320.5276458748,251.0,22891.0,751.9509082543332,5139541.35947652,304.4214688581446,0.00182398406374502,0.0015039018165086662,0.11003178442800848,0.9998536929940514,0.9985388539236826
74,1181221.481703011,406992.7294840277,241.0,22163.0,757.5809188598482,5330387.139832542,292.5496068902461,0.001839253112033195,0.0015151618377196962,0.10768644279613189,0.9998578750662971,0.9985805662952619
75,2152110.436941232,777208.1716591861,244.0,22170.0,748.348712127741,5176603.9410130605,296.2522636935553,0.0018172131147540984,0.001496697424255482,0.1081996560677398,0.9998554363593091,0.9985562420272699
76,2665398971.77058,1354462592.2413197,239.0,22001.0,758.4531494899117,5331555.459187877,290.0772449134994,0.0018410878661087866,0.001516906298979823,0.10791091450669728,0.9998577426127712,0.998579245143576
77,9038126653.758118,4614248014.399212,245.0,22072.0,738.9283588468656,5422460.652269042,298.7028408876397,0.001801795918367347,0.001477856717693731,0.10070880567332607,0.9998637282211467,0.9986389514640128
78,1183840.7914497445,420499.21428156097,244.0,22695.0,769.0174909519258,5192563.453205092,295.11682461093403,0.0018602459016393443,0.0015380349819038514,0.11390818891477332,0.9998519002227162,0.9985209736184618
79,4604489.3936192375,1709374.783473282,250.0,22117.0,726.1661035698323,5092526.196405877,304.5721893554772,0.00176936,0.0014523322071396646,0.10356204227102862,0.9998574055241812,0.9985758828829163
80,1890994.6084917956,712539.1099893125,251.0,22101.0,728.3931162646606,4453153.379759644,303.42131887981265,0.0017610358565737054,0.0014567862325293212,0.11916125109650023,0.9998364320619237,0.9983667249820806
81,7855398.281703196,3014852.980161654,250.0,21937.0,720.0591398272974,5002924.811033244,304.6555315617753,0.00175496,0.0014401182796545948,0.10365132787748686,0.999856072364262,0.9985625855955319
82,15385740.236967629,6478843.925029013,245.0,22613.0,763.283717126811,5069816.769927772,296.2594313569394,0.0018459591836734693,0.001526567434253622,0.11493310031463959,0.9998494455023199,0.9984964922618695
83,1479847.028363272,524951.5534767607,245.0,23321.0,786.1674800315201,5614429.943937953,296.6416265280393,0.0019037551020408161,0.0015723349600630402,0.11009948818823904,0.9998599737661915,0.9986015001019783
84,1253597.3006030915,430494.4465925371,249.0,21763.0,718.0026017826358,4859028.964962251,303.1047512358237,0.0017480321285140562,0.0014360052035652714,0.1061125440838721,0.9998522333151417,0.9985242956908198
85,4619996.536923161,1760061.792524172,246.0,21994.0,736.0888496063232,4986269.703867684,298.795451279596,0.001788130081300813,0.0014721776992126462,0.10867979966730112,0.9998523768481606,0.9985257272127663
86,332165649.83367515,156526908.355812,244.0,22178.0,748.6839051395272,5174421.145151559,296.2264828688529,0.0018178688524590164,0.0014973678102790542,0.10834230307651375,0.9998553105972363,0.9985549876740969
87,361324585.2489152,173281166.0471748,236.0,21211.0,741.1206031005123,4934222.64961361,286.2017316920188,0.0017975423728813558,0.0014822412062010246,0.11133309106565768,0.9998497999268114,0.9985000269326956
88,3190311.554881284,1219769.5370108583,247.0,21955.0,733.8087863205328,4705013.430512718,299.19238375554016,0.0017777327935222672,0.0014676175726410655,0.11446499319349587,0.9998440368349298,0.9984425544864843
89,8546971.848486396,3537654.572961442,244.0,21911.0,743.1524474500586,4663812.420900015,294.8385634089225,0.0017959836065573772,0.001486304894900117,0.11843606182034783,0.9998406555880937,0.9984088377662302
90,18925538.377809998,7974546.269261595,238.0,21912.0,760.4154044893107,5132996.741934551,288.15828651861585,0.001841344537815126,0.0015208308089786216,0.11266659416979502,0.9998518574153229,0.9985205466835733
91,58228335.34204927,25637273.320220485,247.0,21923.0,731.0402284324784,4857406.624740108,299.8877373275073,0.0017751417004048583,0.0014620804568649568,0.11003819511661796,0.9998494998905982,0.9984970346739963
92,3727046.378188921,1441651.0919984505,243.0,21663.0,736.1675428765964,4722786.010906437,294.2672521984763,0.001782962962962963,0.0014723350857531927,0.1147685156154418,0.9998441243068865,0.9984434267562643
93,827705.5877409937,285378.51616134285,254.0,22056.0,715.9085640068142,4510159.612847141,308.0840362707278,0.0017366929133858266,0.0014318171280136283,0.113655941980492,0.9998412675768796,0.9984149401722815
94,2471824.170152044,903521.7982160216,241.0,22063.0,754.4162539038701,5237354.803227661,292.4512811837075,0.001830954356846473,0.0015088325078077402,0.10868575833476156,0.9998559547171716,0.9985614121678364
95,1971254.5241070755,764276.5536134315,240.0,22431.0,777.3021763277563,4834856.05063239,288.57503147581275,0.00186925,0.0015546043526555124,0.12498734604123672,0.9998392295100025,0.9983946179825074
96,1068512.19746712,379138.9136284843,239.0,22493.0,779.0669190724668,5260850.930999297,288.7171749864502,0.0018822594142259414,0.0015581338381449334,0.1153872570710963,0.9998519123751479,0.9985210948194791
97,393207.49672262114,126486.415510389,244.0,21912.0,741.0864317012398,4864814.456325676,295.67401402423144,0.0017960655737704917,0.0014821728634024794,0.11291135175940979,0.9998476639883485,0.9984787255873749
98,7242908.381786276,2856852.922746098,244.0,22298.0,753.5875434820912,5156741.296072407,295.89130278040363,0.001827704918032787,0.0015071750869641823,0.11014265700284238,0.9998538636126547,0.9985405556279003
99,52178395.8146492,22946939.281928677,249.0,22291.0,737.9124946023176,4910972.556946028,302.08188861218923,0.001790441767068273,0.0014758249892046352,0.11089385520619022,0.9998497420854942,0.9984994500804559
